Time,Ask,Bid,AskVolume,BidVolume
22.04.2013 10:34:26.550,1.02720,1.02709,2.25,1.50
22.04.2013 10:34:27.886,1.02720,1.02708,2.63,1.50
22.04.2013 10:34:29.916,1.02719,1.02706,1.65,3.00
22.04.2013 10:34:30.455,1.02719,1.02705,1.65,2.25
22.04.2013 10:34:30.956,1.02719,1.02705,1.65,3.00
22.04.2013 10:34:31.605,1.02719,1.02705,1.65,3.00
22.04.2013 10:34:32.145,1.02719,1.02705,1.65,2.25
22.04.2013 10:34:32.265,1.02719,1.02705,1.65,2.25
22.04.2013 10:34:33.796,1.02717,1.02705,1.50,2.25
22.04.2013 10:34:35.235,1.02717,1.02705,1.50,3.00
22.04.2013 10:34:35.976,1.02719,1.02705,3.15,1.50
22.04.2013 10:34:43.176,1.02716,1.02703,5.25,2.63
22.04.2013 10:34:43.476,1.02712,1.02699,1.65,1.50
22.04.2013 10:34:43.599,1.02711,1.02698,1.50,2.63
22.04.2013 10:34:43.837,1.02712,1.02699,3.15,1.50
22.04.2013 10:34:44.375,1.02712,1.02699,2.40,2.25
22.04.2013 10:34:44.797,1.02713,1.02699,1.69,5.25
22.04.2013 10:34:45.217,1.02718,1.02703,2.03,3.00
22.04.2013 10:34:45.335,1.02718,1.02703,2.03,3.75
22.04.2013 10:34:46.495,1.02718,1.02704,1.65,3.00
22.04.2013 10:34:46.796,1.02720,1.02709,1.50,1.50
22.04.2013 10:34:46.916,1.02721,1.02709,1.13,1.50
22.04.2013 10:34:47.427,1.02721,1.02710,1.50,1.50
22.04.2013 10:34:48.638,1.02719,1.02709,1.50,1.50
22.04.2013 10:34:48.756,1.02719,1.02708,2.03,1.50
22.04.2013 10:34:49.307,1.02719,1.02706,2.78,2.25
22.04.2013 10:34:50.048,1.02722,1.02709,3.53,1.50
22.04.2013 10:34:50.586,1.02721,1.02709,2.25,1.50
22.04.2013 10:34:51.927,1.02721,1.02709,2.25,1.50
22.04.2013 10:34:52.287,1.02722,1.02710,2.63,1.50
22.04.2013 10:34:52.829,1.02722,1.02710,1.13,2.25
22.04.2013 10:34:53.376,1.02726,1.02712,3.38,1.65
22.04.2013 10:34:53.916,1.02728,1.02713,3.90,2.25
22.04.2013 10:34:54.037,1.02728,1.02714,2.40,1.50
22.04.2013 10:34:54.577,1.02727,1.02715,1.50,3.00
22.04.2013 10:35:01.687,1.02727,1.02715,1.50,3.00
22.04.2013 10:35:04.656,1.02728,1.02716,1.65,1.50
22.04.2013 10:35:07.646,1.02728,1.02717,1.65,2.25
22.04.2013 10:35:07.765,1.02730,1.02719,1.13,1.50
22.04.2013 10:35:07.886,1.02732,1.02719,2.50,1.50
22.04.2013 10:35:07.947,1.02733,1.02719,1.65,2.25
22.04.2013 10:35:08.127,1.02734,1.02722,1.13,1.13
22.04.2013 10:35:08.668,1.02738,1.02727,2.25,2.25
22.04.2013 10:35:08.785,1.02740,1.02727,1.50,3.00
22.04.2013 10:35:08.846,1.02740,1.02727,3.00,1.50
22.04.2013 10:35:09.278,1.02738,1.02725,2.40,2.25
22.04.2013 10:35:12.675,1.02738,1.02727,3.15,1.50
22.04.2013 10:35:17.045,1.02738,1.02727,1.65,1.50
22.04.2013 10:35:23.156,1.02739,1.02727,1.50,3.00
22.04.2013 10:35:23.277,1.02740,1.02728,5.63,2.25
22.04.2013 10:35:23.637,1.02741,1.02730,1.88,1.50
22.04.2013 10:35:24.116,1.02746,1.02732,3.19,5.40
